order,task_id,source,repository,language
"1","google__gson-2130","SWE-PolyBench","google/gson","Java"
"2","apache__rocketmq-5062","SWE-PolyBench","apache/rocketmq","Java"
"3","trinodb__trino-3638","SWE-PolyBench","trinodb/trino","Java"
"4","google__gson-2134","SWE-PolyBench","google/gson","Java"
"5","trinodb__trino-3725","SWE-PolyBench","trinodb/trino","Java"
"6","apache__rocketmq-7964","SWE-PolyBench","apache/rocketmq","Java"
"7","google__gson-1832","SWE-PolyBench","google/gson","Java"
"8","apache__dubbo-13869","SWE-PolyBench","apache/dubbo","Java"
"9","apolloconfig__apollo-4199","SWE-PolyBench","apolloconfig/apollo","Java"
"10","apache__dubbo-4026","SWE-PolyBench","apache/dubbo","Java"
"11","apache__rocketmq-4763","SWE-PolyBench","apache/rocketmq","Java"
"12","apache__dubbo-8032","SWE-PolyBench","apache/dubbo","Java"
"13","prettier__prettier-14317","SWE-PolyBench","prettier/prettier","JavaScript"
"14","prettier__prettier-842","SWE-PolyBench","prettier/prettier","JavaScript"
"15","serverless__serverless-3609","SWE-PolyBench","serverless/serverless","JavaScript"
"16","prettier__prettier-10065","SWE-PolyBench","prettier/prettier","JavaScript"
"17","prettier__prettier-3775","SWE-PolyBench","prettier/prettier","JavaScript"
"18","serverless__serverless-6871","SWE-PolyBench","serverless/serverless","JavaScript"
"19","sveltejs__svelte-6514","SWE-PolyBench","sveltejs/svelte","JavaScript"
"20","prettier__prettier-418","SWE-PolyBench","prettier/prettier","JavaScript"
"21","sveltejs__svelte-814","SWE-PolyBench","sveltejs/svelte","JavaScript"
"22","sveltejs__svelte-4395","SWE-PolyBench","sveltejs/svelte","JavaScript"
"23","serverless__serverless-7024","SWE-PolyBench","serverless/serverless","JavaScript"
"24","serverless__serverless-3642","SWE-PolyBench","serverless/serverless","JavaScript"
"25","huggingface__transformers-29680","SWE-PolyBench","huggingface/transformers","Python"
"26","huggingface__transformers-15831","SWE-PolyBench","huggingface/transformers","Python"
"27","huggingface__transformers-28517","SWE-PolyBench","huggingface/transformers","Python"
"28","huggingface__transformers-27717","SWE-PolyBench","huggingface/transformers","Python"
"29","langchain-ai__langchain-4103","SWE-PolyBench","langchain-ai/langchain","Python"
"30","keras-team__keras-19775","SWE-PolyBench","keras-team/keras","Python"
"31","keras-team__keras-19937","SWE-PolyBench","keras-team/keras","Python"
"32","huggingface__transformers-17082","SWE-PolyBench","huggingface/transformers","Python"
"33","huggingface__transformers-21345","SWE-PolyBench","huggingface/transformers","Python"
"34","huggingface__transformers-19219","SWE-PolyBench","huggingface/transformers","Python"
"35","keras-team__keras-19844","SWE-PolyBench","keras-team/keras","Python"
"36","langchain-ai__langchain-5450","SWE-PolyBench","langchain-ai/langchain","Python"
"37","mui__material-ui-26460","SWE-PolyBench","mui/material-ui","TypeScript"
"38","mui__material-ui-34158","SWE-PolyBench","mui/material-ui","TypeScript"
"39","mui__material-ui-17005","SWE-PolyBench","mui/material-ui","TypeScript"
"40","tailwindlabs__tailwindcss-165","SWE-PolyBench","tailwindlabs/tailwindcss","TypeScript"
"41","mui__material-ui-20247","SWE-PolyBench","mui/material-ui","TypeScript"
"42","mui__material-ui-16137","SWE-PolyBench","mui/material-ui","TypeScript"
"43","mui__material-ui-14023","SWE-PolyBench","mui/material-ui","TypeScript"
"44","mui__material-ui-13743","SWE-PolyBench","mui/material-ui","TypeScript"
"45","mui__material-ui-15430","SWE-PolyBench","mui/material-ui","TypeScript"
"46","tailwindlabs__tailwindcss-109","SWE-PolyBench","tailwindlabs/tailwindcss","TypeScript"
"47","mui__material-ui-20133","SWE-PolyBench","mui/material-ui","TypeScript"
"48","mui__material-ui-36426","SWE-PolyBench","mui/material-ui","TypeScript"
"49","keras-team__keras-20002","SWE-PolyBench","keras-team/keras","Python"
"50","google__gson-2364","SWE-PolyBench","google/gson","Java"
