order,source,task_id,repo,language,task_category
1,SWE-PolyBench,google__gson-2130,google/gson,Java,Feature
2,SWE-PolyBench,apache__rocketmq-5062,apache/rocketmq,Java,Feature
3,SWE-PolyBench,trinodb__trino-3638,trinodb/trino,Java,Feature
4,SWE-PolyBench,google__gson-2134,google/gson,Java,Bug Fix
5,SWE-PolyBench,trinodb__trino-3725,trinodb/trino,Java,Bug Fix
6,SWE-PolyBench,apache__rocketmq-7964,apache/rocketmq,Java,Feature
7,SWE-PolyBench,google__gson-1832,google/gson,Java,Bug Fix
8,SWE-PolyBench,apache__dubbo-13869,apache/dubbo,Java,Feature
9,SWE-PolyBench,apolloconfig__apollo-4199,apolloconfig/apollo,Java,Feature
10,SWE-PolyBench,apache__dubbo-4026,apache/dubbo,Java,Bug Fix
11,SWE-PolyBench,apache__rocketmq-4763,apache/rocketmq,Java,Refactoring
12,SWE-PolyBench,apache__dubbo-8032,apache/dubbo,Java,Feature
13,SWE-PolyBench,prettier__prettier-14317,prettier/prettier,JavaScript,Feature
14,SWE-PolyBench,prettier__prettier-842,prettier/prettier,JavaScript,Feature
15,SWE-PolyBench,serverless__serverless-3609,serverless/serverless,JavaScript,Feature
16,SWE-PolyBench,prettier__prettier-10065,prettier/prettier,JavaScript,Bug Fix
17,SWE-PolyBench,prettier__prettier-3775,prettier/prettier,JavaScript,Feature
18,SWE-PolyBench,serverless__serverless-6871,serverless/serverless,JavaScript,Bug Fix
19,SWE-PolyBench,sveltejs__svelte-6514,sveltejs/svelte,JavaScript,Bug Fix
20,SWE-PolyBench,prettier__prettier-418,prettier/prettier,JavaScript,Bug Fix
21,SWE-PolyBench,sveltejs__svelte-814,sveltejs/svelte,JavaScript,Refactoring
22,SWE-PolyBench,sveltejs__svelte-4395,sveltejs/svelte,JavaScript,Bug Fix
23,SWE-PolyBench,serverless__serverless-7024,serverless/serverless,JavaScript,Feature
24,SWE-PolyBench,serverless__serverless-3642,serverless/serverless,JavaScript,Feature
25,SWE-PolyBench,huggingface__transformers-29680,huggingface/transformers,Python,Bug Fix
26,SWE-PolyBench,huggingface__transformers-15831,huggingface/transformers,Python,Feature
27,SWE-PolyBench,huggingface__transformers-28517,huggingface/transformers,Python,Feature
28,SWE-PolyBench,huggingface__transformers-27717,huggingface/transformers,Python,Feature
29,SWE-PolyBench,langchain-ai__langchain-4103,langchain-ai/langchain,Python,Bug Fix
30,SWE-PolyBench,keras-team__keras-19775,keras-team/keras,Python,Bug Fix
31,SWE-PolyBench,keras-team__keras-19937,keras-team/keras,Python,Bug Fix
32,SWE-PolyBench,huggingface__transformers-17082,huggingface/transformers,Python,Bug Fix
33,SWE-PolyBench,huggingface__transformers-21345,huggingface/transformers,Python,Feature
34,SWE-PolyBench,huggingface__transformers-19219,huggingface/transformers,Python,Feature
35,SWE-PolyBench,keras-team__keras-19844,keras-team/keras,Python,Bug Fix
36,SWE-PolyBench,langchain-ai__langchain-5450,langchain-ai/langchain,Python,Feature
37,SWE-PolyBench,mui__material-ui-26460,mui/material-ui,TypeScript,Refactoring
38,SWE-PolyBench,mui__material-ui-34158,mui/material-ui,TypeScript,Feature
39,SWE-PolyBench,mui__material-ui-17005,mui/material-ui,TypeScript,Feature
40,SWE-PolyBench,tailwindlabs__tailwindcss-165,tailwindlabs/tailwindcss,TypeScript,Feature
41,SWE-PolyBench,mui__material-ui-20247,mui/material-ui,TypeScript,Bug Fix
42,SWE-PolyBench,mui__material-ui-16137,mui/material-ui,TypeScript,Bug Fix
43,SWE-PolyBench,mui__material-ui-14023,mui/material-ui,TypeScript,Bug Fix
44,SWE-PolyBench,mui__material-ui-13743,mui/material-ui,TypeScript,Bug Fix
45,SWE-PolyBench,mui__material-ui-15430,mui/material-ui,TypeScript,Refactoring
46,SWE-PolyBench,tailwindlabs__tailwindcss-109,tailwindlabs/tailwindcss,TypeScript,Bug Fix
47,SWE-PolyBench,mui__material-ui-20133,mui/material-ui,TypeScript,Feature
48,SWE-PolyBench,mui__material-ui-36426,mui/material-ui,TypeScript,Bug Fix
49,SWE-PolyBench,keras-team__keras-20002,keras-team/keras,Python,Bug Fix
50,SWE-PolyBench,google__gson-2364,google/gson,Java,Bug Fix
51,SWE-bench Lite,django__django-15814,,Python,bugfix
52,SWE-bench Lite,sympy__sympy-17022,,Python,bugfix
53,SWE-bench Lite,sympy__sympy-21055,,Python,bugfix
54,SWE-bench Lite,django__django-14855,,Python,bugfix
55,SWE-bench Lite,django__django-12286,,Python,bugfix
56,SWE-bench Lite,django__django-11910,,Python,bugfix
57,SWE-bench Lite,django__django-16820,,Python,bugfix
58,SWE-bench Lite,django__django-14787,,Python,bugfix
59,SWE-bench Lite,django__django-13768,,Python,bugfix
60,SWE-bench Lite,scikit-learn__scikit-learn-14087,,Python,bugfix
61,SWE-bench Lite,django__django-15388,,Python,bugfix
62,SWE-bench Lite,django__django-13447,,Python,bugfix
63,SWE-bench Lite,pydata__xarray-4248,,Python,bugfix
64,SWE-bench Lite,scikit-learn__scikit-learn-13584,,Python,bugfix
65,SWE-bench Lite,sympy__sympy-13647,,Python,bugfix
66,SWE-bench Lite,sympy__sympy-20212,,Python,bugfix
67,SWE-bench Lite,django__django-13315,,Python,bugfix
68,SWE-bench Lite,django__django-11999,,Python,bugfix
69,SWE-bench Lite,scikit-learn__scikit-learn-10508,,Python,bugfix
70,SWE-bench Lite,matplotlib__matplotlib-26020,,Python,bugfix
71,SWE-bench Lite,sympy__sympy-13895,,Python,bugfix
72,SWE-bench Lite,matplotlib__matplotlib-23563,,Python,bugfix
73,SWE-bench Lite,django__django-14997,,Python,bugfix
74,SWE-bench Lite,scikit-learn__scikit-learn-15512,,Python,bugfix
75,SWE-bench Lite,matplotlib__matplotlib-25332,,Python,bugfix
76,SWE-bench Lite,django__django-15252,,Python,bugfix
77,SWE-bench Lite,astropy__astropy-14182,,Python,bugfix
78,SWE-bench Lite,django__django-15695,,Python,bugfix
79,SWE-bench Lite,django__django-13448,,Python,bugfix
80,SWE-bench Lite,django__django-16379,,Python,bugfix
81,SWE-bench Lite,django__django-13660,,Python,bugfix
82,SWE-bench Lite,psf__requests-1963,,Python,bugfix
83,SWE-bench Lite,sphinx-doc__sphinx-8721,,Python,bugfix
84,SWE-bench Lite,django__django-15996,,Python,bugfix
85,SWE-bench Lite,django__django-13220,,Python,bugfix
86,SWE-bench Lite,django__django-17087,,Python,bugfix
87,SWE-bench Lite,django__django-16408,,Python,bugfix
88,SWE-bench Lite,pytest-dev__pytest-7168,,Python,bugfix
89,SWE-bench Lite,django__django-15781,,Python,bugfix
90,SWE-bench Lite,sympy__sympy-24102,,Python,bugfix
91,SWE-bench Lite,django__django-13590,,Python,bugfix
92,SWE-bench Lite,pytest-dev__pytest-7220,,Python,bugfix
93,SWE-bench Lite,sympy__sympy-16988,,Python,bugfix
94,SWE-bench Lite,sympy__sympy-12454,,Python,bugfix
95,SWE-bench Lite,django__django-12856,,Python,bugfix
96,SWE-bench Lite,django__django-16046,,Python,bugfix
97,SWE-bench Lite,sympy__sympy-22840,,Python,bugfix
98,SWE-bench Lite,pylint-dev__pylint-7080,,Python,bugfix
99,SWE-bench Lite,pytest-dev__pytest-8906,,Python,bugfix
100,SWE-bench Lite,sympy__sympy-17655,,Python,bugfix
