model,file_delta,test_delta
gemma3:4b,-0.0254978354978355,-0.11599999999999999
granite3.2-vision:latest,-0.09726226551226551,-0.1199047619047619
llama3.2-vision:11b,0.0013484848484848478,-0.0033333333333333335
llama3.2:3b,0.002916666666666667,0.02823809523809524
qwen2.5-coder:1.5b,0.011361111111111113,-0.02716666666666667
qwen2.5-coder:14b,-0.0036313131313131315,0.0175
qwen2.5-coder:3b,0.009090909090909092,0.011666666666666665
qwen2.5-coder:7b,0.00007142857142857089,-0.015
qwen2.5:3b,-0.03013888888888889,-0.08916666666666666
qwen2.5vl:3b,-0.03194444444444445,0.0033333333333333327
