task_id,source,language,repo,gold_files,gold_tests,file_ceiling_r5,test_ceiling_r5,parser_file_r5,parser_file_p5,parser_file_recall_all,parser_test_r5,parser_test_p5,parser_test_recall_all
google__gson-2130,SWE-PolyBench,Java,google/gson,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache__rocketmq-5062,SWE-PolyBench,Java,apache/rocketmq,4,5,1.0,1.0,0.75,1.0,0.75,0.6,1.0,0.6
trinodb__trino-3638,SWE-PolyBench,Java,trinodb/trino,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
google__gson-2134,SWE-PolyBench,Java,google/gson,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
trinodb__trino-3725,SWE-PolyBench,Java,trinodb/trino,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache__rocketmq-7964,SWE-PolyBench,Java,apache/rocketmq,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
google__gson-1832,SWE-PolyBench,Java,google/gson,4,1,1.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0
apache__dubbo-13869,SWE-PolyBench,Java,apache/dubbo,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apolloconfig__apollo-4199,SWE-PolyBench,Java,apolloconfig/apollo,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache__dubbo-4026,SWE-PolyBench,Java,apache/dubbo,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache__rocketmq-4763,SWE-PolyBench,Java,apache/rocketmq,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache__dubbo-8032,SWE-PolyBench,Java,apache/dubbo,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prettier__prettier-14317,SWE-PolyBench,JavaScript,prettier/prettier,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prettier__prettier-842,SWE-PolyBench,JavaScript,prettier/prettier,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
serverless__serverless-3609,SWE-PolyBench,JavaScript,serverless/serverless,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prettier__prettier-10065,SWE-PolyBench,JavaScript,prettier/prettier,3,6,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
prettier__prettier-3775,SWE-PolyBench,JavaScript,prettier/prettier,8,7,0.625,0.7142857142857143,0.25,1.0,0.25,0.2857142857142857,1.0,0.2857142857142857
serverless__serverless-6871,SWE-PolyBench,JavaScript,serverless/serverless,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sveltejs__svelte-6514,SWE-PolyBench,JavaScript,sveltejs/svelte,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prettier__prettier-418,SWE-PolyBench,JavaScript,prettier/prettier,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sveltejs__svelte-814,SWE-PolyBench,JavaScript,sveltejs/svelte,1,3,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333
sveltejs__svelte-4395,SWE-PolyBench,JavaScript,sveltejs/svelte,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
serverless__serverless-7024,SWE-PolyBench,JavaScript,serverless/serverless,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
serverless__serverless-3642,SWE-PolyBench,JavaScript,serverless/serverless,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
huggingface__transformers-29680,SWE-PolyBench,Python,huggingface/transformers,1,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
huggingface__transformers-15831,SWE-PolyBench,Python,huggingface/transformers,4,2,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0
huggingface__transformers-28517,SWE-PolyBench,Python,huggingface/transformers,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
huggingface__transformers-27717,SWE-PolyBench,Python,huggingface/transformers,3,1,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0
