task_id,repo,source,language,condition,models,parse_ok,file_r5,file_ceiling_normalized,file_p5,test_r5,test_p5
apache__dubbo-13869,apache/dubbo,SWE-PolyBench,Java,issue_only,10,1.0,0.0,0.0,0.0,0.0,0.0
apache__dubbo-13869,apache/dubbo,SWE-PolyBench,Java,issue_plus_patch,10,1.0,0.95,0.95,0.8,0.95,1.0
apache__dubbo-13869,apache/dubbo,SWE-PolyBench,Java,patch_only,10,1.0,0.95,0.95,0.85,0.95,1.0
apache__dubbo-4026,apache/dubbo,SWE-PolyBench,Java,issue_only,10,1.0,0.1,0.1,0.05,0.05,0.05
apache__dubbo-4026,apache/dubbo,SWE-PolyBench,Java,issue_plus_patch,10,1.0,0.9,0.9,0.4,0.5,0.8
apache__dubbo-4026,apache/dubbo,SWE-PolyBench,Java,patch_only,10,1.0,0.8,0.8,0.4166666666666667,0.55,0.9
apache__dubbo-8032,apache/dubbo,SWE-PolyBench,Java,issue_only,10,1.0,0.06666666666666667,0.06666666666666667,0.1,0.0,0.0
apache__dubbo-8032,apache/dubbo,SWE-PolyBench,Java,issue_plus_patch,10,1.0,0.9666666666666666,0.9666666666666666,0.9349999999999999,1.0,1.0
apache__dubbo-8032,apache/dubbo,SWE-PolyBench,Java,patch_only,10,1.0,0.8333333333333333,0.8333333333333333,0.8166666666666667,0.9,0.9
apache__rocketmq-4763,apache/rocketmq,SWE-PolyBench,Java,issue_only,10,1.0,0.0,0.0,0.0,0.0,0.0
apache__rocketmq-4763,apache/rocketmq,SWE-PolyBench,Java,issue_plus_patch,10,1.0,0.9666666666666668,0.9666666666666668,0.975,1.0,1.0
apache__rocketmq-4763,apache/rocketmq,SWE-PolyBench,Java,patch_only,10,1.0,0.9333333333333332,0.9333333333333332,0.925,0.9,0.9
apache__rocketmq-5062,apache/rocketmq,SWE-PolyBench,Java,issue_only,10,1.0,0.0,0.0,0.0,0.0,0.0
apache__rocketmq-5062,apache/rocketmq,SWE-PolyBench,Java,issue_plus_patch,10,1.0,0.775,0.775,0.9800000000000001,0.38,1.0
apache__rocketmq-5062,apache/rocketmq,SWE-PolyBench,Java,patch_only,10,1.0,0.675,0.675,0.9800000000000001,0.33999999999999997,0.9
